id,lat,lng,biomass,stddev
1,14.5995,120.9842,100,20
2,14.589500000000001,120.9742,115,25
3,14.579500000000001,120.9642,130,30
4,14.569500000000001,120.9542,130,35
5,14.559500000000002,120.9442,145,28
6,14.5495,120.9342,110,23
7,14.5395,120.9242,110,28
8,14.5295,120.91420000000001,125,33
9,14.5195,120.9042,140,26
10,14.509500000000001,120.8942,140,31
11,14.499500000000001,120.8842,105,26
12,14.489500000000001,120.8742,120,31
13,14.479500000000002,120.8642,120,24
14,14.4695,120.8542,135,29
15,14.4595,120.8442,150,34
16,14.4495,120.8342,100,29
17,14.4395,120.8242,115,22
18,14.4295,120.8142,130,27
19,14.419500000000001,120.8042,130,32
20,14.409500000000001,120.7942,145,37
