"agb_Mgha_bins","n_pre","n_post","agb_Mgha_pre","agb_Mgha_post"
"(0,20]",661,661,11.7582731303027,11.7582731303027
"(20,40]",1041,1041,30.2050387178361,30.2050387178361
"(40,60]",810,810,48.9401408827633,48.9401408827633
"(60,80]",529,529,69.4491092670267,69.4491092670267
"(80,100]",401,401,90.6515100751341,90.6515100751341
"(100,120]",410,410,109.66128742753,109.66128742753
"(120,140]",353,353,129.096870414828,129.096870414828
"(140,160]",248,248,148.909589652687,148.909589652687
"(160,180]",249,249,169.906588231963,169.906588231963
"(180,200]",186,186,189.422212032937,189.422212032937
"(200,300]",682,682,244.886641179309,244.886641179309
"(300,400]",456,456,345.20153744593,345.20153744593
"(400,500]",354,354,448.367958581408,448.367958581408
"(500,Inf]",1304,1304,1959.63410669221,1959.63410669221
